player_name,position,birthday,feet,inches,weight(lbs.),born,college,high_school_name,high_school_state,draft_team,draft_info
Christian Kirk,: WR,1996-11-18,5,11,200,"
    in Scottsdale, AZ",Texas A&M,Saguaro,AZ,Arizona Cardinals,Draft: Arizona Cardinals in the 2nd round (47th overall) of the 2018 NFL Draft.
Brandon Jones,: WR,1982-03-20,6,1,208,"
    in Texarkana, TX",Oklahoma,Liberty-Eylau,TX,Tennessee Titans,Draft: Tennessee Titans in the 3rd round (96th overall) of the 2005 NFL Draft.
Davis Mills,: QB,1998-10-21,6,4,225,"
    in Atlanta, GA",Stanford,Greater Atlanta Christian,GA,Houston Texans,Draft: Houston Texans in the 3rd round (67th overall) of the 2021 NFL Draft.
Michael Carter,: NT,1960-10-29,6,2,285,"
    in Dallas, TX",SMU,Thomas Jefferson,TX,San Francisco 49ers,Draft: San Francisco 49ers in the 5th round (121st overall) of the 1984 NFL Draft.
Maurice Smith,: RB,1976-09-07,6,0,235,"
    in Palmyra, NC",North Carolina A&T,S.E. Halifax,NC,NA,
Chris Givens,: WR,1989-12-06,5,11,198,"
    in Jackson, MS",Wake Forest,Wylie,TX,St. Louis Rams,Draft: St. Louis Rams in the 4th round (96th overall) of the 2012 NFL Draft.
Charles Lee,: RB,1950-11-08,6,2,245,"
    in Jacksonville, FL",Bethune-Cookman,New Stanton,FL,Cincinnati Bengals,Draft: Cincinnati Bengals in the 12th round (302nd overall) of the 1973 NFL Draft.
Doug Martin,: RB,1989-01-13,5,9,210,"
    in Stockton, CA",Boise St.,St. Mary's,CA,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 1st round (31st overall) of the 2012 NFL Draft.
James Jones,: DE,1990-02-27,6,5,265,"
    in Rochester, NY",Syracuse,Union Endicott,NY,New England Patriots,Draft: New England Patriots in the 1st round (21st overall) of the 2012 NFL Draft.
Will Fuller,: WR,1994-04-16,6,1,184,"
    in Philadelphia, PA",Notre Dame,Roman Catholic,PA,Houston Texans,Draft: Houston Texans in the 1st round (21st overall) of the 2016 NFL Draft.
Michael Wilson,: C,NA,6,6,295,NA,Oklahoma St.,NA,NA,NA,NA
Richie James,: NT,1973-09-26,6,4,280,"
    in Orange, CA",Washington,Kelso,WA,NA,
Robert Ferguson,: FB,1939-08-29,5,11,220,"
    in Columbus, OH",Ohio St.,Troy,OH,Pittsburgh Steelers,"Draft: Pittsburgh Steelers in the 1st round (5th overall) of the 1962 NFL Draft., 
San Diego Chargers in the 1st round (8th overall) of the 1962 AFL Draft."
