player_name,birthday
Alfred Blue,4/27/1991
Damiere Byrd,1/27/1993
Tyler Conklin,7/30/1995
Gus Frerotte,7/31/1971
Greg Camarillo,4/18/1982
Jahvid Best,1/30/1989
Darnerien McCants,12/17/1976
Muhsin Muhammad,5/5/1973
Trent Sherfield,2/26/1996
Devin Hester,11/4/1982
Az-Zahir Hakim,6/3/1977
Terry McLaurin,9/15/1995
Tony Martin,9/5/1965
Corey Coleman,7/6/1994
Alexander Mattison,6/19/1998
Brad Johnson,9/13/1968
Jared Goff,10/14/1994
Evan Engram,9/2/1994
Shane Matthews,6/1/1970
Alec Pierce,5/2/2000
Jared Cook,4/7/1987
Kregg Lumpkin,5/15/1984
David Patten,8/19/1974
Najee Harris,3/9/1998
JaMarcus Russell,8/9/1985
Jason Witten,5/6/1982
Kevin Curtis,7/17/1978
Marcus Pollard,2/8/1972
Andrew Hawkins,3/10/1986
Trung Canidate,3/3/1977
Anthony Fasano,4/20/1984
Reggie Wayne,11/17/1978
Daunte Culpepper,1/28/1977
Greg Olsen,3/11/1985
Tucker Kraft,11/3/2000
Denarius Moore,12/9/1988
Allen Hurns,11/12/1991
Jarvis Landry,11/28/1992
Travis Etienne,1/26/1999
Mike Goodson,5/23/1987
Roscoe Parrish,7/16/1982
Mike Glennon,12/12/1989
Quincy Morgan,9/23/1977
Andrew Quarless,10/6/1988
Antowain Smith,3/14/1972
Marshall Faulk,2/26/1973
Ameer Abdullah,6/13/1993
Nelson Agholor,5/24/1993
Allen Lazard,12/11/1995
Raghib Ismail,11/18/1969
David Boston,8/19/1978
Will Levis,6/27/1999
CeeDee Lamb,4/8/1999
Plaxico Burress,8/12/1977
Marquez Callaway,3/27/1998
Josh Gordon,4/13/1991
Zay Jones,3/30/1995
David Gettis,8/27/1987
Troy Brown,7/2/1971
Scott Vines,4/17/1979
Kevin Faulk,6/5/1976
J.K. Dobbins,12/17/1998
Rashaad Penny,2/2/1996
David LaFleur,1/29/1974
Kenny Britt,9/19/1988
Lee Suggs,8/11/1980
Dameon Pierce,2/19/2000
Trent Taylor,4/30/1994
Jeff King,2/19/1983
Samie Parker,3/25/1981
Early Doucet,10/28/1985
Damian Williams,5/26/1988
Robbie Chosen,5/9/1993
Charlie Batch,12/5/1974
Hines Ward,3/8/1976
Dak Prescott,7/29/1993
Brian Finneran,1/31/1976
Stanley Pritchett,12/22/1973
Joseph Addai,5/3/1983
Clive Walford,10/1/1991
Justin McCareins,12/1/1978
Matt Breida,2/28/1995
Louis Murphy,5/11/1987
Dwayne Haskins,5/3/1997
Derick Armstrong,4/2/1979
Kerry Collins,12/30/1972
Danny Amendola,11/2/1985
Clyde Edwards-Helaire,4/11/1999
Martavis Bryant,12/20/1991
Ito Smith,9/11/1995
Olandis Gary,5/18/1975
Ronnie Brown,12/12/1981
Zach Zenner,9/13/1991
Mac Jones,9/5/1998
Bo Scaife,1/6/1981
Todd Gurley,8/3/1994
Daniel Fells,9/23/1983
Eric Moulds,7/17/1973
Qadry Ismail,11/8/1970
Brandon Stokley,6/23/1976
Jerome Pathon,12/16/1975
Toby Gerhart,3/28/1987
Brian Hoyer,10/13/1985
D.J. Hackett,7/3/1981
Jeremy Maclin,5/11/1988
Jaylen Waddle,11/25/1998
Bobby Rainey,10/16/1987
Cameron Meredith,9/21/1992
Jamel White,2/11/1977
Beanie Wells,8/7/1988
Jacquez Green,1/15/1976
Kenny Watson,3/13/1978
Rickey Dudley,7/15/1972
Roy Helu,12/7/1988
Laurence Maroney,2/5/1985
Reggie Bush,3/2/1985
Aaron Dobson,7/23/1991
Dontayvion Wicks,6/16/2001
Jakobi Meyers,11/9/1996
Donald Driver,2/2/1975
Dion Sims,2/18/1991
Jalen Guyton,6/7/1997
Tutu Atwell,10/7/1999
Kyle Orton,11/14/1982
Wayne Gallman,10/1/1994
Donnie Avery,6/12/1984
Matthew Stafford,2/7/1988
Michael Clayton,10/13/1982
Justin Armour,1/1/1973
Quentin Johnston,9/6/2001
LaRod Stephens-Howling,4/26/1987
Matt Cassel,5/17/1982
Dennis Pitta,6/29/1985
Austin Ekeler,5/17/1995
Jerick McKinnon,5/3/1992
Corey Davis,1/11/1995
Isaiah McKenzie,4/9/1995
Dontrelle Inman,1/31/1989
Ken Dilger,2/2/1971
Leonard Hankerson,1/30/1989
Troy Williamson,4/30/1983
Lance Moore,8/31/1983
Kenny Pickett,6/6/1998
Paul Perkins,11/16/1994
Evan Moore,1/3/1985
Kris Durham,3/17/1988
Justin Herbert,3/10/1998
Daryl Richardson,4/12/1990
Myles Gaskin,2/15/1997
Kenton Keith,7/14/1980
Cedric Houston,6/28/1982
Austin Seferian-Jenkins,9/29/1992
Taywan Taylor,3/2/1995
Branden Oliver,5/7/1991
Brandon Bolden,1/26/1990
Puka Nacua,5/29/2001
Marshawn Lynch,4/22/1986
Rachaad White,1/12/1999
Lance Ball,6/19/1985
Richard Rodgers,1/22/1992
Jed Weaver,8/11/1976
Duke Johnson,9/23/1993
Albert Okwuegbunam,4/25/1998
Eric Ebron,4/10/1993
Javonte Williams,4/25/2000
Stacey Mack,6/26/1975
Tiquan Underwood,2/17/1987
Hunter Henry,12/7/1994
Hayden Hurst,8/24/1993
Justin Blackmon,1/9/1990
Blake Bortles,4/28/1992
Eric Parker,4/14/1979
Chester Taylor,9/22/1979
Isaac Redman,11/10/1984
Zach Wilson,8/3/1999
Josh Adams,10/29/1996
LaDainian Tomlinson,6/23/1979
Brandon Myers,9/4/1985
Cleo Lemon,8/16/1979
Dominic Rhodes,1/17/1979
Sammie Stroughter,1/3/1986
D'Onta Foreman,4/24/1996
Bryan Edwards,11/13/1998
Javorius Allen,8/27/1991
Ezekiel Elliott,7/22/1995
Keyshawn Johnson,7/22/1972
Curtis Enis,6/15/1976
Dare Ogunbowale,5/4/1994
Brandon Lloyd,7/5/1981
Freddie Jones,9/16/1974
Kalif Raymond,8/8/1994
Brian Hartline,11/22/1986
Julius Jones,8/14/1981
Braxton Berrios,10/6/1995
Carson Wentz,12/30/1992
Chris Carson,9/16/1994
Freddie Mitchell,11/28/1978
Kaden Smith,4/24/1997
Rodney Peete,3/16/1966
Nick Goings,1/26/1978
Damien Harris,2/11/1997
Cole Kmet,3/10/1999
Correll Buckhalter,10/6/1978
Kurt Warner,6/22/1971
Stephen Davis,3/1/1974
Mark Sanchez,11/11/1986
DeSean Jackson,12/1/1986
DeAndre Washington,2/22/1993
Travis Prentice,12/8/1976
D'Wayne Bates,12/4/1975
Terrance West,1/28/1991
Mike Vick,6/26/1980
Scott Chandler,7/23/1985
Jordan Todman,2/24/1990
Tony Banks,4/5/1973
Deonte Harty,12/4/1997
